electeur	auteur	vote	version
frederiquebordignon1	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
hankahensens	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
vincentmineokleiner	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
antoinediamantberger	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
justineancelin	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
mathieud	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
coincoinlaraignee	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
davidaymonin	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
chekib1	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
olivierfaurax	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
amicfrouvelle	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
danielbourrion	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
celinesmith	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
giselemaxit	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
xavierg	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
yadlajoie	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
vincentreverdy	danielbourrion	0	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
courtin	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
pierre1	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
emmanuellehelly	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
fredericdanielluclehobey	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
amaelraynaud	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
emmanuelhadoux	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
