version	auteur	electeur	vote
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	frederiquebordignon1	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	hankahensens	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	vincentmineokleiner	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	antoinediamantberger	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	justineancelin	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	mathieud	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	coincoinlaraignee	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	davidaymonin	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	chekib1	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	olivierfaurax	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	amicfrouvelle	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	danielbourrion	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	celinesmith	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	giselemaxit	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	xavierg	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	yadlajoie	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	vincentreverdy	0
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	courtin	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	pierre1	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	emmanuellehelly	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fredericdanielluclehobey	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	amaelraynaud	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	emmanuelhadoux	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	claudeloverdo	0
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	davidbenoist	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	louisgesbert	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	bookynette	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	mathurindorel	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	ceciletannier	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	romainh	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	gesbert	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	fannydespouys	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	thomasfourmeux	1
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	danielbourrion	alexandrequemy	-1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	colettecadiou	1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	benoitrkloeckner	-1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	helenebourguignon	-1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	odilecontat	1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	samsond	-1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	alexandredaspremont1	1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	olivierjacquot	alainguenoche	1
